report_id,report_type,site,activity,report_text,language,sif_potential,precursor,evidence,life_saving_rule,priority,human_review
V3-1069,Unsafe Condition,Tank Farm,crane operation,"during routine field activity, at the Tank Farm, a field operator was involved in crane operation near the equipment bay. The worker or crew started the operation while another crew was still working inside the affected area. This created a situation involving unexpected pressure in the process line. The team withdrew from the area and reassessed the work conditions.",English,YES,Uncontrolled hazard,Unexpected hazard identified,Energy Isolation,High,Yes
V3-0462,Near Miss,Pipeline Station 3,vessel cleaning,"during a planned maintenance window, at the Pipeline Station 3, A warning sign had shifted from its original position and was restored before work started. The observation was associated with vessel cleaning near the maintenance area. The observation involved housekeeping rather than an active energy source. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Precaution confirmed,Confined Space,Low,No
V3-0237,Safety Observation,Tank Farm,pipeline repair,"during the afternoon shift, at the Tank Farm, A routine inspection identified a small housekeeping deviation with no personnel exposure. The observation was associated with pipeline repair near the process line. The task had not started when the issue was identified. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Procedure followed,Line of Fire,Low,No
V3-0728,Unsafe Act,Refinery Area A,vessel cleaning,"shortly after the crew arrived, at the Refinery Area A, A worker reported a minor equipment defect that did not affect the active task and the item was tagged for follow-up. The observation was associated with vessel cleaning near the production unit. The task had not started when the issue was identified. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Work area controlled,Line of Fire,Low,No
V3-0376,Safety Observation,Refinery Area A,compressor maintenance,"shortly after the crew arrived, at the Refinery Area A, A worker noticed a loose hand tool on the work platform and secured it before the task began. The observation was associated with compressor maintenance near the storage area. The task had not started when the issue was identified. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,No personnel exposure,Confined Space,Low,No
V3-0719,Near Miss,Maintenance Workshop,compressor maintenance,"while preparing the work area, at the Maintenance Workshop, the maintenance group was involved in compressor maintenance near the pipeline corridor. Before the task progressed, the team checked the condition of the lifting equipment. The equipment was within the approved operating condition. The work proceeded without an uncontrolled change in conditions.",English,NO,No credible precursor identified,Procedure followed,Hot Work,Low,No
V3-0697,Unsafe Condition,Tank Farm,tank entry,"during routine field activity, at the Tank Farm, The team noticed a damaged label on equipment and replaced it before continuing. The observation was associated with tank entry near the pipeline corridor. The observation involved housekeeping rather than an active energy source. The team corrected the issue before normal work continued.",English,NO,No credible precursor identified,Control verified,Line of Fire,Routine,No
V3-1442,Unsafe Condition,Tank Farm,welding,"during the afternoon shift, at the Tank Farm, the electrical crew was involved in welding near the valve station. The worker or crew moved into the work area while an important safeguard was still being checked. This created a situation involving temporary loss of a protective barrier. The activity was paused and the affected equipment was secured.",English,YES,Uncontrolled hazard,Personnel exposed to hazard,Confined Space,High,Yes
V3-1308,Unsafe Condition,Gas Processing Unit,grinding,"during the afternoon shift, at the Gas Processing Unit, the maintenance group was involved in grinding near the process line. The worker or crew moved into the work area while an important safeguard was still being checked. This created a situation involving unexpected pressure in the process line. Work was suspended until the missing control was restored.",English,YES,Unsafe positioning,Personnel exposed to hazard,Confined Space,High,Yes
V3-0089,Unsafe Act,Gas Processing Unit,grinding,"during the afternoon shift, at the Gas Processing Unit, a welding crew was involved in grinding near the compressor bay. Before the task progressed, the team reviewed the work instructions before starting. The approved sequence was followed. The planned barriers remained effective during the observation.",English,NO,No credible precursor identified,Control verified,Energy Isolation,Low,No
