report_id,report_type,site,activity,report_text,language,sif_potential,precursor,evidence,life_saving_rule,priority,human_review
SIF-0001,Near-Miss,Site A,Pipeline Repair,"During Pipeline Repair, the team followed the approved procedure and confirmed Energy Isolation controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Approved procedure followed,Energy Isolation,Low,Not required
SIF-0002,Unsafe Act,Site F,Pipeline Repair,A barrier failure was identified during Pipeline Repair. The missing or ineffective Energy Isolation control left workers exposed to a high-consequence hazard.,English,YES,Control failure,Required control was missing or not verified,Energy Isolation,High,Required
SIF-0003,Unsafe Act,Site B,Tank Entry,"During Tank Entry, the supervisor verified the relevant Confined Space control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Approved procedure followed,Confined Space,Normal,Not required
SIF-0004,Near-Miss,Site D,Tank Entry,Worker started Tank Entry without confirming effective Confined Space controls. The hazard remained exposed and the condition had potential for serious injury or fatality.,English,YES,Energy exposure,Personnel exposed to high-energy hazard,Confined Space,Critical,Required
SIF-0005,Unsafe Condition,Site B,Vehicle Movement,A planned Vehicle Movement task was completed with appropriate supervision and documented Line of Fire controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Personnel maintained safe position,Line of Fire,Low,Not required
SIF-0006,Unsafe Act,Site D,Pipeline Repair,An unsafe act occurred during Pipeline Repair; the crew proceeded before confirming Energy Isolation controls. The event had serious-injury potential despite no major consequence.,English,YES,Control failure,Barrier failure identified,Energy Isolation,Critical,Required
SIF-0007,Unsafe Act,Site E,Grinding,"The crew completed Grinding after confirming permits, barriers, and Hot Work requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,Required controls verified,Hot Work,Normal,Not required
SIF-0008,Unsafe Condition,Site C,Crane Operation,"During Crane Operation, the required Line of Fire control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Energy exposure,Required control was missing or not verified,Line of Fire,High,Required
SIF-0009,Unsafe Act,Site B,Pipeline Repair,"The crew completed Pipeline Repair after confirming permits, barriers, and Energy Isolation requirements. No significant safety precursor was reported.",English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Normal,Not required
SIF-0010,Near-Miss,Site B,Lifting Operation,An unsafe act occurred during Lifting Operation; the crew proceeded before confirming Line of Fire controls. The event had serious-injury potential despite no major consequence.,English,YES,Uncontrolled hazard,Personnel exposed to high-energy hazard,Line of Fire,Critical,Required
SIF-0011,Unsafe Condition,Site E,Pipeline Repair,"During Pipeline Repair, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Routine observation with effective controls,Energy Isolation,Low,Not required
SIF-0012,Incident,Site D,Welding Near Hydrocarbon Equipment,"During inspection of Welding Near Hydrocarbon Equipment, personnel were found within a hazardous exposure zone without adequate Hot Work protection. Immediate correction was required.",English,YES,Uncontrolled hazard,Near-miss with serious consequence potential,Hot Work,High,Required
SIF-0013,Unsafe Condition,Site A,Lifting Operation,A planned Lifting Operation task was completed with appropriate supervision and documented Line of Fire controls. No credible SIF potential was found.,English,NO,No credible SIF precursor,Required controls verified,Line of Fire,Normal,Not required
SIF-0014,Unsafe Act,Site C,Electrical Maintenance,The team was preparing for Electrical Maintenance while the Energy Isolation control was bypassed or incomplete. The unsafe condition could have resulted in severe harm.,English,YES,Barrier failure,Permit/control verification incomplete,Energy Isolation,Critical,Required
SIF-0015,Incident,Site D,Grinding,"During Grinding, the team followed the approved procedure and confirmed Hot Work controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,Personnel maintained safe position,Hot Work,Low,Not required
SIF-0016,Near-Miss,Site F,Tank Entry,A barrier failure was identified during Tank Entry. The missing or ineffective Confined Space control left workers exposed to a high-consequence hazard.,English,YES,Energy exposure,Permit/control verification incomplete,Confined Space,Critical,Required
SIF-0017,Incident,Site B,Tank Entry,Routine Tank Entry was completed with the required Confined Space controls verified and documented. No credible SIF precursor was identified.,English,NO,No credible SIF precursor,Required controls verified,Confined Space,Low,Not required
SIF-0018,Unsafe Condition,Site F,Welding Near Hydrocarbon Equipment,A barrier failure was identified during Welding Near Hydrocarbon Equipment. The missing or ineffective Hot Work control left workers exposed to a high-consequence hazard.,English,YES,Unsafe positioning,Permit/control verification incomplete,Hot Work,High,Required
SIF-0019,Incident,Site E,Electrical Maintenance,"During Electrical Maintenance, the supervisor verified the relevant Energy Isolation control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Personnel maintained safe position,Energy Isolation,Low,Not required
SIF-0020,Near-Miss,Site F,Pipeline Repair,An unsafe act occurred during Pipeline Repair; the crew proceeded before confirming Energy Isolation controls. The event had serious-injury potential despite no major consequence.,English,YES,Unsafe positioning,Required control was missing or not verified,Energy Isolation,Critical,Required
SIF-0021,Unsafe Act,Site D,Welding Near Hydrocarbon Equipment,The report records a normal safety observation during Welding Near Hydrocarbon Equipment. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Routine observation with effective controls,Hot Work,Normal,Not required
SIF-0022,Unsafe Act,Site B,Vessel Cleaning,"During inspection of Vessel Cleaning, personnel were found within a hazardous exposure zone without adequate Confined Space protection. Immediate correction was required.",English,YES,Barrier failure,Near-miss with serious consequence potential,Confined Space,High,Required
SIF-0023,Unsafe Act,Site B,Lifting Operation,"During Lifting Operation, the supervisor verified the relevant Line of Fire control and the work proceeded within the approved safe limits. No SIF precursor was identified.",English,NO,No credible SIF precursor,Personnel maintained safe position,Line of Fire,Normal,Not required
SIF-0024,Near-Miss,Site A,Compressor Maintenance,"During inspection of Compressor Maintenance, personnel were found within a hazardous exposure zone without adequate Energy Isolation protection. Immediate correction was required.",English,YES,Barrier failure,Personnel exposed to high-energy hazard,Energy Isolation,High,Required
SIF-0025,Unsafe Act,Site A,Crane Operation,The report records a normal safety observation during Crane Operation. Required controls were effective and no high-consequence exposure was identified.,English,NO,No credible SIF precursor,Permit and barriers confirmed,Line of Fire,Low,Not required
SIF-0026,Unsafe Condition,Site B,Vessel Cleaning,The report describes a near-miss in Vessel Cleaning involving inadequate Confined Space controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Energy exposure,Permit/control verification incomplete,Confined Space,High,Required
SIF-0027,Incident,Site E,Vessel Cleaning,"During Vessel Cleaning, the team followed the approved procedure and confirmed Confined Space controls before starting work. No serious-injury precursor was observed.",English,NO,No credible SIF precursor,No high-consequence exposure identified,Confined Space,Low,Not required
SIF-0028,Near-Miss,Site D,Vehicle Movement,The report describes a near-miss in Vehicle Movement involving inadequate Line of Fire controls and uncontrolled exposure. HSE attention was recommended.,English,YES,Control failure,Permit/control verification incomplete,Line of Fire,Critical,Required
SIF-0029,Unsafe Act,Site B,Tank Entry,A routine inspection of Tank Entry found controls in place and personnel outside the hazard zone. The report does not indicate SIF potential.,English,NO,No credible SIF precursor,Required controls verified,Confined Space,Low,Not required
SIF-0030,Unsafe Act,Site B,Crane Operation,"During Crane Operation, the required Line of Fire control was not verified. Personnel were exposed to a credible high-energy hazard, although no serious injury occurred.",English,YES,Barrier failure,Near-miss with serious consequence potential,Line of Fire,High,Required
SIF-0031,Near-Miss,Site A,Pipeline Repair,Routine Pipeline Repair was completed with the required Energy Isolation controls verified and documented. No credible SIF precursor was identified.,English,NO,No credible SIF precursor,No high-consequence exposure identified,Energy Isolation,Low,Not required
