report_id,report_type,site,activity,report_text,language,sif_potential,life_saving_rule
V4-03949,Unsafe Condition,Process Unit,cutting,"At Tank Farm, An observation during cutting found that the crew started cutting after authorization for the activity was confirmed. The work area was subsequently reviewed.",English,NO,Hot Work
V4-03977,Unsafe Condition,Production Area B,welding,"at the start of the work period, at Gas Processing Unit, The report relates to welding. At the time of the observation, the welding activity continued after the required hot-work controls were verified. The observation was reported to the site team.",English,NO,Hot Work
V4-03780,Unsafe Condition,Tank Farm,cutting,"At Gas Processing Unit, The team was carrying out cutting when the crew started cutting after authorization for the activity was confirmed.",English,NO,Hot Work
V4-00791,Unsafe Condition,Loading Terminal,pump maintenance,"before the evening shutdown, at Gas Processing Unit, The team was carrying out pump maintenance when the crew started work after the energy source had been verified as isolated. The work area was subsequently reviewed.",English,NO,Energy Isolation
V4-01221,Near Miss,Compressor Station 2,confined-space maintenance,"during routine field activity, at Gas Processing Unit, During the work period, the maintenance crew entered before authorization for entry was confirmed while the crew was engaged in confined-space maintenance. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-00636,Unsafe Condition,Compressor Station 2,pipeline maintenance,"at the start of the work period, at Refinery Area A, During pipeline maintenance, it was observed that the crew approached the line after the required isolation had been confirmed. The activity was brought to the attention of the supervisor.",English,NO,Energy Isolation
V4-03580,Near Miss,Loading Terminal,welding,"during routine field activity, at Utility Section, The crew was engaged in welding; the welding activity continued after the required hot-work controls were verified. The observation was reported to the site team.",English,NO,Hot Work
V4-00287,Safety Observation,Production Area B,pipeline maintenance,"At Tank Farm, The crew was engaged in pipeline maintenance; the isolation status had not been confirmed when the crew began work. The condition was discussed with the crew.",English,YES,Energy Isolation
V4-02162,Safety Observation,Production Area B,crane operation,"during a planned maintenance window, at Production Area B, The crew was engaged in crane operation; a worker entered the load travel area during crane movement.",English,YES,Line of Fire
V4-02685,Unsafe Condition,Loading Terminal,vehicle movement,"at the start of the work period, at Production Area B, The report relates to vehicle movement. At the time of the observation, vehicle movement continued with effective separation from pedestrians. The work area was subsequently reviewed.",English,NO,Line of Fire
V4-01973,Safety Observation,Refinery Area A,tank cleaning,"before the evening shutdown, at Refinery Area A, During the work period, personnel entered the tank after the atmosphere had been checked while the crew was engaged in tank cleaning. The activity was brought to the attention of the supervisor.",English,NO,Confined Space
V4-02647,Safety Observation,Process Unit,crane operation,"at the start of the work period, at Production Area B, While crane operation was underway, personnel stayed outside the load travel area during crane movement. The supervisor reviewed the situation.",English,NO,Line of Fire
V4-00559,Near Miss,Loading Terminal,valve maintenance,"before the evening shutdown, at Refinery Area A, While valve maintenance was underway, the equipment was accessed only after the isolation points were verified. The condition was discussed with the crew.",English,NO,Energy Isolation
V4-01347,Safety Observation,Process Unit,vessel inspection,"while preparing the work area, at Compressor Station 2, The crew was engaged in vessel inspection; entry began while the required gas test was still pending. The activity was brought to the attention of the supervisor.",English,YES,Confined Space
V4-01780,Unsafe Act,Production Area B,tank cleaning,"during the afternoon shift, at Production Area B, During a planned work activity involving tank cleaning, personnel entered the tank after the atmosphere had been checked.",English,NO,Confined Space
V4-03502,Near Miss,Production Area B,welding,"during the afternoon shift, at Gas Processing Unit, Work involving welding was observed. At the time, the welding activity continued after the required hot-work controls were verified.",English,NO,Hot Work
V4-00462,Near Miss,Compressor Station 2,valve maintenance,"during the afternoon shift, at Compressor Station 2, During the work period, the crew began work without confirming the relevant energy isolation while the crew was engaged in valve maintenance. The work area was subsequently reviewed.",English,YES,Energy Isolation
V4-02177,Unsafe Act,Gas Processing Unit,crane operation,"during the afternoon shift, at Maintenance Workshop, During crane operation, it was observed that a worker remained beneath the suspended load while it was moving. The work area was subsequently reviewed.",English,YES,Line of Fire
V4-02050,Near Miss,Pipeline Station 3,crane operation,"during a planned maintenance window, at Pipeline Station 3, Work involving crane operation was observed. At the time, a worker entered the load travel area during crane movement.",English,YES,Line of Fire
V4-02636,Unsafe Condition,Tank Farm,crane operation,"At Gas Processing Unit, The crew was engaged in crane operation; the suspended load was moved only after workers had cleared its potential path. The activity was brought to the attention of the supervisor.",English,NO,Line of Fire
V4-00380,Safety Observation,Maintenance Workshop,pipeline maintenance,"At Pipeline Station 3, During pipeline maintenance, it was observed that the crew approached the line while the required isolation remained unverified.",English,YES,Energy Isolation
V4-02494,Near Miss,Gas Processing Unit,vehicle movement,"during routine field activity, at Utility Section, A field observation was recorded during vehicle movement: vehicle movement continued without effective separation from a pedestrian. The observation was reported to the site team.",English,YES,Line of Fire
V4-03160,Near Miss,Loading Terminal,welding,"during the afternoon shift, at Utility Section, Work involving welding was observed. At the time, the welding activity continued while the required hot-work controls were incomplete. The activity was brought to the attention of the supervisor.",English,YES,Hot Work
V4-02524,Near Miss,Maintenance Workshop,lifting operation,"during the morning shift, at Loading Terminal, The crew was engaged in lifting operation; workers remained outside the area beneath the suspended load.",English,NO,Line of Fire
V4-02534,Near Miss,Pipeline Station 3,crane operation,"during a planned maintenance window, at Pipeline Station 3, A field observation was recorded during crane operation: the exclusion zone was maintained while the load was being moved. The activity was brought to the attention of the supervisor.",English,NO,Line of Fire
V4-02498,Near Miss,Tank Farm,crane operation,"during the morning shift, at Gas Processing Unit, A field observation was recorded during crane operation: the suspended load was moved while a worker remained in its potential path. The observation was reported to the site team.",English,YES,Line of Fire
V4-01607,Unsafe Condition,Production Area B,tank cleaning,"before the evening shutdown, at Loading Terminal, The team was carrying out tank cleaning when personnel entered the tank after the atmosphere had been checked. The supervisor reviewed the situation.",English,NO,Confined Space
V4-02100,Unsafe Act,Pipeline Station 3,crane operation,"before the evening shutdown, at Utility Section, During a planned work activity involving crane operation, the suspended load was moved while a worker remained in its potential path.",English,YES,Line of Fire
V4-02863,Unsafe Condition,Maintenance Workshop,crane operation,"during the morning shift, at Maintenance Workshop, During crane operation, it was observed that personnel stayed outside the load travel area during crane movement. The supervisor reviewed the situation.",English,NO,Line of Fire
